KeyParcelId,Additional Parcel Indexes,Parcel Address,,
R72 07007 0031,,18 Victor Ave,,
R72 07006 0018,"19,20",1009-1011 Richmond Ave,,
R72 07109 0031,,29 Marathon Ave,,
R72 08409 0015,,34 Paisley,,
R72 08409 0007,,Dakota St,,
R72 08409 0008,"14,29",320-322 Dakota St,,
R72 07101 0002,"11,12",16 Victor Ave,,
R72 07006 0052,,235 Fountain Ave,,
R72 06806 0002,"3,45",265 Delaware,,
R72 07010 0042,,220 Victor,,
R72 06806 0025,,230-232 Delaware,,
R72 08409 0009,,243 N Williams St,,
R72 06806 0043,,281 Delaware,,
R72 07001 0002,,115 Fountain,,
R72 07001 0028,,119 Fountain,,
R72 07008 0033,34,303 Delaware,,
R72 07001 0029,,804 Richmond,,
R72 07006 0063,64,917 Richmond,,
R72 07007 0056,,928 Richmond,,
R72 07006 0021,"22,23",1005 Richmond,,
R72 06111 0019,,161 Ridge Ave,,
R72 07007 0009,,26-28 Santa Clara Ave,,
R72 07007 0051,,18 Victor Ave,,
R72 07005 0007,"19,71,75,78",128-132 Santa Clara Ave,,
R72 02607 0038,39,450-452 Quitman St,,
R72 10906 0009,0010,3503 & 3517 Riverside Dr,,
R72 05902 0002,03,752-754 N Main St,,
R72 06710 0019,,926 Old Orchard Ave,,
R72 09503 0014,15,441 Mulford Ave,,
R72 09503 0004,3,2436 Grandview Ave,,
R72 09309 0041,,33 S Moss Ave,,
R72 08203 0052,,35 N Woodward Ave,,
R72 08204 0053,"54, 55",46 N Woodward Ave,,
R72 06706 0012,,725 N Belmonte Pk,,
R72 15815 0049,,2105 Piccadilly Ave,,
R72 04804 0042,,19 N Garland Ave,,
R72 08703 0010,11,1209 & 1203 W Fourth St,,
R72 13318 0007,,Glenelle Dr,,
R72 13318 0008,,Glenelle Dr,,
R72 13318 0009,,Glenelle Dr,,
R72 13318 0010,,Glenelle Dr,,
R72 13318 0011,,Glenelle Dr,,
R72 07308 0024,,622 Salem Ave,,
R72 07308 0025,,616 Salem Ave,,
R72 00710 0011,"12,13,14,15,16",Webster St,,
R72 00710 0021,"22,23,24,25,26",617 E Third St,,
R72 07702 0036,,509 Oxford Ave,,
R72 06509 0011,"12,46",27 Central Ave,,
R72 15909 0060,61*,4650 Greenwich Village Ave,,
R72 12111 0040,,2824 Moraine Ave,,
R72 08202 0034,,59 Hallwood Ave,,
R72 08202 0042,,25-27 Hallwood Ave,,
R72 08202 0074,,143 N Kilmer St,,
R72 02804 0005,,321-323 Wyoming st,,
R72 10409 0001,"07,08",1006 S Broadway St,,
R72 13209 0023,,Lakeview Ave,,
R72 06711 0021,,520-522 Forest Ave,,
R72 04311 0047,,1474 Darst Ave,,
R72 05303 0028,49,24 Light St,,
R72 10410 0001,02,1106 S Broadway St,,
R72 15302 0039,,Jordan Ave,,
R72 08313 0066,,1647 W Second St,,
R72 16002 0023,"24*,30*,32*",2781 Wentworth Ave,,
R72 14807 0033,,3128 Wayne Ave,,
R72 04411 0056,,919 E Huffman Ave,,
R72 04503 0027,"28,29",2159 E Third St,,
R72 06008 0044,45,44 E Mumma Ave,,
R72 04302 0035,,1525 Huffman Ave,,
R72 07407 0005,,630 Superior Ave,,
R72 08202 0001,,161 N Woodward Ave,,
R72 08206 0051,,2001 W First St,,
R72 08110 0031,,162 Reisinger Ave,,
R72 08202 0076,,135 N Kilmer St,,
R72 08204 0060,"61,62",2136 W Second St,,
R72 08206 0026,,224 N Mathison St,,
R72 08204 0020,"21,22",48 N Woodward Ave,,
R72 08201 0011,,119 N Marion St,,
R72 08206 0050,,2003 W First St,,
R72 04602 0041,,25-27 N Philadelphia St,,
R72 04510 0067,,34 S Torrence St,,
R72 08208 0058,,Mason St,,
R72 08109 0031,,16 Reisinger Ave,,
R72 08208 0059,,32 Mason St,,
R72 08902 0016,,1915 Home Ave,,
R72 08202 0075,,137 N Kilmer,,
R72 08202 0067,,169-171 Kilmer,,
R72 08203 0071,,2220 W Second St,,
R72 13209 0006,,Lakeview Ave,,
R72 10406 0055,56*,1216-1222 Paul L Dunbar St,,
R72 13604 0013,13605 0003,1641 & 1703 Broadway St,,
R72 12501 0009,,1217-1219 Kammer Ave,,
R72 13107 0020,21,201-203 Lookout Ave,,
R72 16210 0029,,1836 Kensington Dr,,
R72 08109 0029,,24 Reisinger Ave,,
R72 08110 0032,,158 Reisinger Ave,,
R72 08202 0020,,20 Hallwood Ave,,
R72 08202 0025,,40 Hallwood Ave,,
R72 08202 0027,,50 Hallwood Ave,,
R72 08202 0028,,54 Hallwood Ave,,
R72 08202 0038,,43 Hallwood Ave,,
R72 08202 0071,,155 N Kilmer St,,
R72 08202 0072,,149 N Kilmer St,,
R72 08202 0080,,119 N Kilmer St,,
R72 08203 0017,,15-17 N Kilmer St,,
R72 08203 0029,,2218 W Second St,,
R72 08203 0053,,33 N Woodward Ave,,
R72 08204 0050,"51, 52",44 N Woodward Ave,,
R72 08205 0015,,102-104 N Woodward Ave,,
R72 08205 0022,,137 Orchard Ave,,
R72 08205 0027,,117 N Orchard Ave,,
R72 08205 0028,,107-111 Orchard Ave,,
R72 08205 0029,,101 N Orchard Ave,,
R72 08206 0011,,211 Clemmer St,,
R72 08206 0015,,125-127 Clemmer St,,
R72 08206 0022,,208 N Mathison St,,
R72 08206 0023,,212 N Mathison St,,
R72 08206 0025,,220 N Mathison St,,
R72 08702 0074,75,238 Mercer Ave,,
R72 01912 0055,,26 Garret St,,
R72 08707 0049,51*52*,1402 W Fifth St,,
R72 08108 0006,,219 Kammer Ave,,
R72 11707 0023,,1923 Rugby Rd,,
R72 07601 0033,,Riverview Ave,,
R72 13408 0028,,1017 Dennison Ave,,
R72 15901 0038,,4313 Genesee Ave,,
R72 11508 0062,,1930 Malvern Ave,,
R72 12705 0032,,333 Leland Ave,,
R72 12112 0301,,1520 Wesleyan Rd,,
R72 04817 0049,,232 N Westview Ave,,
R72 16214 0111,,1967 Shaftesbury Rd,,
R72 16214 0096,,1962 Kensington Dr,,
R72 04407 0065,,242-244 Martz Ave,,
R72 07601 0031,,1522 W Riverview Ave,,
R72 04501 0072,,10 York Ave,,
R72 17103 0010,,Hoover Ave,,
R72 07803 0014,,600 Yale Ave,,
R72 08707 0053,,1414 W Fifth St,,
R72 05002 0089,,2160 Bickmore Ave,,
R72 11207 0019,,450 Cherry Dr,,
R72 12709 0014,,252 Brooklyn Ave,,
R72 13211 0092,,860 S Gettysburg Ave,,
R72 15701 0065,,1036 Charleston Blvd,,
R72 04804 0096,,16 N Westview Ave,,
R72 12112 0053,54,1405 Canfield Ave,,
R72 15209 0063,,1662 Gondert Ave,,
R72 13310 0019,21,1035 McArthur Ave,,
R72 12112 0165,,1520 Shelley Dr,,
R72 08209 0019,,Mason St,,
R72 08205 0021,,141 N Orchard Ave,,
R72 08409 0021,,225-227 N Williams St,,
R72 08901 0011,,1853 W Fifth St,,
R72 06011 0012,,1833 Riverside Dr,,
R72 06205 0053,,238 Basswood,,
R72 12401 0035,,629 Walton Ave,,
R72 15817 0021,,4627 Bluehaven Dr,,
R72 06709 0038,,N Main St Surveyed Lot,,
R72 10908 0049,,215 Ryburn Ave,,
R72 06306 0036,,203 Maplewood Ave,,
R72 10902 0021,,425 Sandhurst Dr,,
R72 10910 0021,,314 E Bruce Ave,,
R72 04203 0029,,15 Davis Ave,,
R72 13211 0180,,762 Ernroe Dr,,
R72 13211 0041,,660 Oak Leaf Dr,,
R72 10907 0048,1,3510 Kathleen Ave,,
R72 01604 0005,,204-208 Washington St,,
R72 12112 0126,,1448 Kipling Dr,,
R72 03306 0037,, Medford St,,
R72 03306 0038,,231 Medford St,,
R72 12312 0006,,1534 Omega Ave,,
R72 08713 0035,,1307 Germantown,,
R72 05104 0028,,2022 Leo St,,
R72 05206 0025,,257 Alaska St,,
R72 12012 0032,,1670 Earlham Dr,,
R72 02407B0043,,661-663 St Paul Ave,,
R72 15913 0004,,2406 England Ave,,
R72 01809 0008,,325-327 E Lincoln St,,
R72 11302 0007,,901 Sunnyview Ave,,
R72 12907 0041,,4631 Sylvan Dr,,
R72 01912 0024,,32 Garret St,,
R72 12016 0018,,1793 Vancouver Dr,,
R72 05210 0021,,267 Grove Ave,,
R72 15606 0028,29*,2933 Lindale Ave,,
R72 06202 0041,,21 Basswood Ave,,
R72 06705 0035,,335 Geyer St,,
R72 07601 0030,,1528 W Riverview Ave,,
R72 16116 0020,,2416 Marchmont Dr,,
R72 16006 0004,,4679 Free Pk,,
R72 15004 0023,,1834 Russet Ave,,
R72 08715 0020,,Shannon St,,
R72 08804 0001,"4, 74","J.H McGee, W 5th St, 111 Cambria",,
R72 08715 0021,,Shannon St,,
R72 08311 0021,,1634-1636 W Second St,,
R72 07709 0055,,806 N P L Dunbar St,,
R72 01810 0003,,330-336 Warren St,,
R72 13201 0050,,308 Lookout Ave,,
R72 12112 0275,,1424 Shaftesbury Rd,,
R72 05003 0006,,1122 Valley St,,
R72 11809 0045,,1302 Cornell Dr,,
R72 12703 0026,,3511 W Second St,,
R72 07802 0004,,625 Cambridge Ave,,
R72 12307 0019,,865 Clarkson Ave,,
R72 03305 0045,,23 Kratochwill St,,
R72 01309 0083,"19, 18",1808-1820 E Fifth St,,
R72 07403 0010,,927 Broadway St,,
R72 06907 0029,,969 Manhattan Ave,,
R72 02409 0056,,711 St Joseph Ave,,
R72 12402 0038,,732 N Upland Ave,,
R72 15404 0052,,1619 Suman Ave,,
R72 12908 0032,,4519 Dayview Ave,,
R72 06103 0025,,314 Ernst Ave,,
R72 12603 0019,,316 Westwood Ave,,
R72 12102 0027,,1010 Shakespeare Ave,,
R72 15209 0058,,1642 Gondert Ave,,
R72 06209 0047,,22-24 Laura Ave,,
R72 07307 0020,,724 Salem Ave,,
R72 01808 0005,,34 Pulaski St,,
R72 05301 0069,,118 Grove Ave,,
R72 05210 0054,,177 Notre Dame Ave,,
R72 05208 0043,,62-64 Baltimore St,,
R72 05307 0086,,1535 Chapel St,,
R72 06310 0061,,97-99 Fernwood Ave,,
R72 07003 0018,,228 Marathon Ave,,
R72 13404 0056,,951 Haller Ave,,
R72 10608 0039,,237 Smith St,,
R72 10608 0030,,273 Smith St,,
R72 04409 0090,,239 S Hedges Ave,,
R72 04810 0188,,253 N Garland Ave,,
R72 04801 0013,,232 S Hedges Ave,,
R72 07103 0015,,25 W Parkwood Dr,,
R72 07011 0059,60,410 Delaware Ave,,
R72 04410 0006,,260 Burkhardt Ave,,
R72 10607 0121,,432 Harriet St,,
R72 06906 0004,,978 Manhattan Ave,,
R72 02203 0045,,2229 E Fifth St,,
R72 06210 0094,,2520 Theodore Ave,,
R72 07005 0004,,152 Santa Clara,,
R72 05208 0049,,1815 Warner Ave,,
R72 12606 0028,,439 Burleigh Ave,,
R72 12606 0026,,433 Burleigh Ave,,
R72 12009 0016,,1811 Rutland Dr,,
R72 07201 0023,,1052 Cumberland Ave,,
R72 10403B0089,,1464 Tampa Ave,,
R72 07011 0029,,505-507 Delaware Ave,,
R72 11707 0007,,1926 Catalpa Dr,,
R72 12113 0057,,1341 Shaftesbury Rd,,
R72 11910 0022,,1621-1627 Harold Dr,,
R72 15701 0155,,3614 Courtwood Ave,,
R72 11308 0038,,1067 Sherwood Dr,,
R72 08109 0006,,1219 Edison St,,
R72 08109 0028,,214 N Woodward Ave,,
R72 08202 0058,,146 N Kilmer St,,
R72 08202 0032,,67 Hallwood Ave,,
R72 08202 0052,,120 N Kilmer St,,
R72 08203 0054,,27 N Woodward,,
R72 08203 0016,,19 N Kilmer,,
R72 08202 0057,,142 N Kilmer,,
R72 08203 0033,,2202 W Second St,,
R72 12210 0004,,3101-3103 Hoover Ave,,
